Name,Price,Overall Rating,Total no of rating,Total no of reviews,5 star rating,4 star rating,3 star rating,2 star rating,1 star rating,Camera Rating,Battery Rating,Display Rating,Design Rating,Variant,Display,Camera,Offers
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,499",4.3,"(1,63,123)","9,356 Reviews","1,04,288","32,551","11,932","4,576","9,776",3.7,4.2,4.0,4.0,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,"Get 10% Cashback on Samsung Axis bank Credit Card,5% Cashback on Flipkart Axis Bank Card,Get extra ₹5500 off (price inclusive of cashback/coupon),Spotify Premium - 3M at ₹119"
"SAMSUNG Galaxy A34 5G (Awesome Graphite, 256 GB)","₹32,999",4.2,"(1,546)",136 Reviews,902,361,100,42,141,3.8,3.8,4.4,4.2,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,48MP + 8MP + 5MP | 13MP Front Camera,"Get 10% Cashback on Samsung Axis bank Credit Card,5% Cashback on Flipkart Axis Bank Card,₹3000 Off On ICICI Bank Credit Non EMI, Credit and Debit Card EMI Transactions,Get extra ₹6500 off (price inclusive of cashback/coupon)"
"SAMSUNG Galaxy A54 5G (Awesome Violet, 128 GB)","₹38,999",4.3,(750),71 Reviews,470,156,41,17,66,4.2,3.8,4.5,4.4,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,50MP + 12MP + 5MP | 32MP Front Camera,"Get 10% Cashback on Samsung Axis bank Credit Card,5% Cashback on Flipkart Axis Bank Card,₹3000 Off On ICICI Bank Credit Non EMI, Credit and Debit Card EMI Transactions,Get extra ₹3000 off (price inclusive of cashback/coupon)"
"SAMSUNG Galaxy S20 FE 5G (Cloud Mint, 128 GB)","₹27,490",4.2,"(1,957)",124 Reviews,"1,162",444,114,43,194,4.3,3.5,4.4,4.2,8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,12MP Rear Camera | 32MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3930 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
SAMSUNG GURU MUSIC 2,"₹2,890",4.1,"(4,440)",337 Reviews,"2,509",949,370,187,425,2.9,3.8,3.8,3.8,8 MB RAM | 0 GB ROM | Expandable Upto 16 GB,5.08 cm (2 inch) QVGA Display,0MP | 0MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"SAMSUNG Galaxy A23 5G (Light Blue, 128 GB)","₹23,899",3.8,(502),35 Reviews,252,96,42,26,86,3.2,3.5,3.7,3.6,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP | 8MP Front Camera,"Get 10% Cashback on Samsung Axis bank Credit Card,5% Cashback on Flipkart Axis Bank Card,Get extra ₹1100 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"SAMSUNG GALAXY M13 5G (Aqua Green, 64 GB)","₹12,940",4.2,"(1,020)",58 Reviews,580,236,81,25,98,3.3,3.7,3.7,3.7,4 GB RAM | 64 GB ROM,16.51 cm (6.5 inch) Display,50MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"SAMSUNG Galaxy A03 Core (Onyx, 32 GB)","₹7,495",4.1,"(3,917)",309 Reviews,"2,114",885,408,148,362,3.3,3.8,3.7,3.8,2 GB RAM | 32 GB ROM,16.51 cm (6.5 inch) Display,8MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3004 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"SAMSUNG GALAXY M13 5G (Midnight Blue, 64 GB)","₹12,930",4.2,"(1,020)",58 Reviews,580,236,81,25,98,3.3,3.7,3.7,3.7,4 GB RAM | 64 GB ROM,16.51 cm (6.5 inch) Display,50MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)","₹16,990",4.2,"(11,466)",834 Reviews,"6,466","2,877",922,336,865,3.8,4.1,4.0,3.9,6 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Display,50MP Rear Camera | 8MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹15,999",4.3,"(2,03,019)","15,526 Reviews","1,21,848","47,633","14,994","5,467","13,077",3.8,4.0,4.0,4.0,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,"Get 10% Cashback on Samsung Axis bank Credit Card,5% Cashback on Flipkart Axis Bank Card,₹750 Off On ICICI bank Credit and Debit Card Transactions,Get extra ₹8000 off (price inclusive of cashback/coupon)"
"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)","₹10,982",4.2,"(3,913)",231 Reviews,"2,315",874,324,123,277,3.7,4.2,4.0,4.0,4 GB RAM | 64 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
